Timestamp,AssetId,Side,ExecutionPrice,Shares,DollarValue
0001-01-01T00:00:00.0000000,101382889399459186287918265349625665520206015473089621188785074900165094780086,BUY,0.795,9.811320754716981132075471698,7.7999999999999999999999999999
0001-01-01T00:00:00.0000000,101382889399459186287918265349625665520206015473089621188785074900165094780086,SELL,0.135,9.811320754716981132075471698,1.3245283018867924528301886792
0001-01-01T00:00:00.0000000,101382889399459186287918265349625665520206015473089621188785074900165094780086,BUY,0.695,9.784172661870503597122302158,6.7999999999999999999999999998
0001-01-01T00:00:00.0000000,50753102490069166868761867717894543599100592151055982271549688726533527911408,BUY,0.755,5.5181456953642384105960264901,4.1662000000000000000000000000
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,BUY,0.645,4.952093023255813953488372093,3.1941000000000000000000000000
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,SELL,0.325,4.952093023255813953488372093,1.6094302325581395348837209302
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,BUY,0.605,4.8760330578512396694214876033,2.9500000000000000000000000000
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,SELL,0.325,4.8760330578512396694214876033,1.5847107438016528925619834711
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,BUY,0.645,4.952093023255813953488372093,3.1941000000000000000000000000
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,SELL,0.335,4.9520930232558139534883720930,1.6589511627906976744186046512
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,BUY,0.555,6.8108108108108108108108108108,3.7800000000000000000000000000
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,SELL,0.335,6.8108108108108108108108108108,2.2816216216216216216216216216
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,BUY,0.655,18.564885496183206106870229008,12.160000000000000000000000000
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,SELL,0.375,18.564885496183206106870229008,6.9618320610687022900763358780
0001-01-01T00:00:00.0000000,109273940481067087344749542815116720890268891848230573111806505744024667741664,BUY,0.505,97.20616342640071594372682365,49.089112530332361551582045943
0001-01-01T00:00:00.0000000,50753102490069166868761867717894543599100592151055982271549688726533527911408,SELL,0.585,5.5181456953642384105960264901,3.2281152317880794701986754967
0001-01-01T00:00:00.0000000,22985909507761349476787075259581563418172357495197121249733553784354582099953,BUY,0.815,14.723926380368098159509202454,12.000000000000000000000000000
0001-01-01T00:00:00.0000000,22985909507761349476787075259581563418172357495197121249733553784354582099953,SELL,0.615,14.723926380368098159509202454,9.055214723926380368098159509
0001-01-01T00:00:00.0000000,74799695509933251928724906926533363031164157512869284939183742263025692476285,BUY,0.325,133.53846153846153846153846154,43.400000000000000000000000000
0001-01-01T00:00:00.0000000,74799695509933251928724906926533363031164157512869284939183742263025692476285,SELL,0.115,5.00,0.57500
0001-01-01T00:00:00.0000000,74799695509933251928724906926533363031164157512869284939183742263025692476285,SELL,0.115,5.00,0.57500
0001-01-01T00:00:00.0000000,22985909507761349476787075259581563418172357495197121249733553784354582099953,BUY,0.665,19.54887218045112781954887218,13.000000000000000000000000000
0001-01-01T00:00:00.0000000,3207721459780942622562553844688744737216953404126886560370934911293670855034,BUY,0.675,9.777777777777777777777777778,6.6000000000000000000000000002
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,BUY,0.805,9.813664596273291925465838509,7.8999999999999999999999999997
0001-01-01T00:00:00.0000000,3207721459780942622562553844688744737216953404126886560370934911293670855034,SELL,0.195,9.777777777777777777777777778,1.9066666666666666666666666667
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,SELL,0.325,9.813664596273291925465838509,3.1894409937888198757763975154
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,BUY,0.645,9.767441860465116279069767442,6.3000000000000000000000000001
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,SELL,0.01,5.6300,0.056300
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,SELL,0.01,4.137441860465116279069767442,0.0413744186046511627906976744
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,BUY,0.555,9.72972972972972972972972973,5.4000000000000000000000000002
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,SELL,0.245,5.00,1.22500
0001-01-01T00:00:00.0000000,3207721459780942622562553844688744737216953404126886560370934911293670855034,BUY,0.755,4.9006622516556291390728476821,3.7000000000000000000000000000
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,SELL,0.245,4.729729729729729729729729730,1.1587837837837837837837837838
0001-01-01T00:00:00.0000000,3207721459780942622562553844688744737216953404126886560370934911293670855034,SELL,0.01,4.9006622516556291390728476821,0.0490066225165562913907284768
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,BUY,0.455,9.67032967032967032967032967,4.3999999999999999999999999998
0001-01-01T00:00:00.0000000,58372283179773540669028638414172277920137097341783695918056937499862758277714,SELL,0.245,5.00,1.22500
